Participant,TimeStamp,Order,Task,Forehead Temp,Nasal Temp
1,1,,baseline,36.5,34.5
1,2,,baseline,36.2,34.4
1,3,,baseline,36.2,34.5
1,4,,baseline,36.3,34.7
1,5,,baseline,36.3,34.4
1,6,,baseline,36.4,34.6
1,7,,baseline,36,34.6
1,8,,baseline,36.2,34.4
1,9,,baseline,36.3,34.4
1,10,,baseline,36.4,34.7
1,11,,baseline,36.4,33.7
1,12,,baseline,36.3,34.6
1,13,,baseline,36,34.1
1,14,,baseline,36.7,34.5
1,15,,baseline,36.3,34.3
1,16,,baseline,36.3,34.5
1,17,,baseline,36.2,34.3
1,18,,baseline,36.5,34.4
1,19,,baseline,36.4,34.4
1,20,,baseline,36.1,34.6
1,21,,baseline,36,34.3
1,22,,baseline,36.4,34.3
1,23,,baseline,36.4,34.1
1,24,,baseline,36.4,34.3
1,25,,baseline,36.3,34.3
1,26,,baseline,36.4,34.4
1,27,,baseline,36.7,34.5
1,28,,baseline,35.8,34.5
1,29,,baseline,36.8,34.4
1,30,,baseline,36.3,34.4
1,31,,baseline,36.1,34.5
1,32,,baseline,36.5,34.5
1,33,,baseline,36.4,34.4
1,34,,baseline,36.4,34.5
1,35,,baseline,36.2,34.5
1,36,,baseline,36.3,34.5
1,37,,baseline,36.1,34.5
1,38,,baseline,36.2,34.2
1,39,,baseline,36.4,34.3
1,40,,baseline,36.3,34.3
1,41,,baseline,36.3,34.5
1,42,,baseline,36.5,34.4
1,43,,baseline,36.3,34.3
1,44,,baseline,36.4,34.5
1,45,,baseline,36.1,34.5
1,46,,baseline,36.5,34.4
1,47,,baseline,36.1,34.2
1,48,,baseline,36.5,34.3
1,49,,baseline,36.7,34.3
1,50,,baseline,36.4,34.2
1,51,,baseline,36.3,34.4
1,52,,baseline,36.3,34.3
1,53,,baseline,36.4,34.4
1,54,,baseline,36.3,34.4
1,55,,baseline,36.1,34.5
1,56,,baseline,36.3,34.6
1,57,,baseline,36.3,34.3
1,58,,baseline,36.2,34.5
1,59,,baseline,36.2,34.3
1,60,,baseline,36,34.2
1,61,,baseline,36.5,34.3
1,62,,baseline,36.4,34.6
1,63,,baseline,36.4,34.6
1,64,,baseline,36.5,34.6
1,65,,baseline,36.2,34.4
1,66,,baseline,35.9,34.6
1,67,,baseline,36.5,34.6
1,68,,baseline,36.4,34.4
1,69,,baseline,36.2,34.6
1,70,,baseline,36.3,34.7
1,71,,baseline,36.3,34.6
1,72,,baseline,36.5,34.4
1,73,,baseline,36.4,34.4
1,74,,baseline,36.3,34.6
1,75,,baseline,36.5,34.4
1,76,,baseline,36.3,34.7
1,77,,baseline,36.3,34.6
1,78,,baseline,36.4,34.7
1,79,,baseline,36,34.7
1,80,,baseline,36.5,34.4
1,81,,baseline,36.5,34.2
1,82,,baseline,35.9,34.4
1,83,,baseline,36.1,34.4
1,84,,baseline,36.3,34.7
1,85,,baseline,36.5,34.4
1,86,,baseline,36.5,34.7
1,87,,baseline,36.5,34.4
1,88,,baseline,36.4,34.2
1,89,,baseline,35.8,34.3
1,90,,baseline,36.4,34.4
1,1,Reading,science article,36.4,33.8
1,2,Reading,science article,36.6,33.6
1,3,Reading,science article,36.7,33.9
1,4,Reading,science article,36.6,33.8
1,5,Reading,science article,36.7,34.1
1,6,Reading,science article,36.4,34
1,7,Reading,science article,36.6,34.1
1,8,Reading,science article,36.6,33.8
1,9,Reading,science article,36.5,33.7
1,10,Reading,science article,36.6,33.6
1,11,Reading,science article,36.6,33.6
1,12,Reading,science article,36.6,33.6
1,13,Reading,science article,36.6,33.7
1,14,Reading,science article,36.7,33.8
1,15,Reading,science article,36.7,33.7
1,16,Reading,science article,36.6,34
1,17,Reading,science article,36.6,34
1,18,Reading,science article,36.6,33.8
1,19,Reading,science article,36.7,33.5
1,20,Reading,science article,36.7,33.9
1,21,Reading,science article,36.7,33.8
1,22,Reading,science article,36.7,33.6
1,23,Reading,science article,36.8,33.7
1,24,Reading,science article,36.7,33.7
1,25,Reading,science article,36.6,33.6
1,26,Reading,science article,36.6,33.7
1,27,Reading,science article,36.6,33.7
1,28,Reading,science article,36.7,33.6
1,29,Reading,science article,36.8,33.6
1,30,Reading,science article,36.8,33.8
1,31,Reading,science article,36.5,34
1,32,Reading,science article,36.6,33.9
1,33,Reading,science article,36.7,33.5
1,34,Reading,science article,36.7,33.8
1,35,Reading,science article,36.8,33.7
1,36,Reading,science article,36.7,33.6
1,37,Reading,science article,36.7,33.5
1,38,Reading,science article,36.8,33.6
1,39,Reading,science article,36.9,33.4
1,40,Reading,science article,36.6,33.7
1,41,Reading,science article,36.7,33.6
1,42,Reading,science article,36.9,33.4
1,43,Reading,science article,36.8,33.4
1,44,Reading,science article,36.8,33.6
1,45,Reading,science article,36.7,33.5
1,46,Reading,science article,36.7,33.6
1,47,Reading,science article,36.7,33.5
1,48,Reading,science article,36.8,33.3
1,49,Reading,science article,36.9,33.6
1,50,Reading,science article,36.6,33.6
1,51,Reading,science article,36.6,33.6
1,52,Reading,science article,36.6,33.3
1,53,Reading,science article,36.5,33.5
1,54,Reading,science article,36.7,33.5
1,55,Reading,science article,36.7,33.4
1,56,Reading,science article,36.6,33.4
1,57,Reading,science article,36.6,33.3
1,58,Reading,science article,36.6,33.9
1,59,Reading,science article,36.8,33.3
1,60,Reading,science article,36.7,33.5
1,61,Reading,science article,36.6,33.4
1,62,Reading,science article,36.5,33.5
1,63,Reading,science article,36.5,33.4
1,64,Reading,science article,36.4,33.4
1,65,Reading,science article,36.5,33.4
1,66,Reading,science article,36.7,34.2
1,67,Reading,science article,36.7,33.6
1,68,Reading,science article,36.6,33.5
1,69,Reading,science article,36.5,33.7
1,70,Reading,science article,36.5,33.6
1,71,Reading,science article,36.6,34.2
1,72,Reading,science article,36.6,33.6
1,73,Reading,science article,36.5,33.7
1,74,Reading,science article,36.5,33.1
1,75,Reading,science article,36.6,33.2
1,76,Reading,science article,36.7,33.3
1,77,Reading,science article,36.8,33.2
1,78,Reading,science article,36.7,33.3
1,79,Reading,science article,36.6,33.4
1,80,Reading,science article,36.7,33.4
1,81,Reading,science article,36.7,33.1
1,82,Reading,science article,36.7,33.3
1,83,Reading,science article,36.7,33.5
1,84,Reading,science article,36.8,33.4
1,85,Reading,science article,36.8,33.4
1,86,Reading,science article,36.6,33.5
1,87,Reading,science article,36.7,33.6
1,88,Reading,science article,36.8,33.4
1,89,Reading,science article,36.7,33.3
1,90,Reading,science article,36.6,33.5
1,1,Reading,easy blog (article),36.6,32
1,2,Reading,easy blog (article),36.4,34.4
1,3,Reading,easy blog (article),36.5,31.8
1,4,Reading,easy blog (article),36.6,31.7
1,5,Reading,easy blog (article),36.7,31.9
1,6,Reading,easy blog (article),36.6,31.7
1,7,Reading,easy blog (article),36.7,31.8
1,8,Reading,easy blog (article),36.6,31.7
1,9,Reading,easy blog (article),36.8,32.3
1,10,Reading,easy blog (article),36.8,32.3
1,11,Reading,easy blog (article),36.6,32.2
1,12,Reading,easy blog (article),36.7,32.1
1,13,Reading,easy blog (article),36.6,31.7
1,14,Reading,easy blog (article),36.6,32
1,15,Reading,easy blog (article),36.6,31.8
1,16,Reading,easy blog (article),36.7,32.1
1,17,Reading,easy blog (article),36.7,31.9
1,18,Reading,easy blog (article),36.6,31.7
1,19,Reading,easy blog (article),36.6,31.8
1,20,Reading,easy blog (article),36.6,31.8
1,21,Reading,easy blog (article),36.7,31.7
1,22,Reading,easy blog (article),36.3,32.7
1,23,Reading,easy blog (article),36.4,32.7
1,24,Reading,easy blog (article),36.6,32.1
1,25,Reading,easy blog (article),36.6,32.5
1,26,Reading,easy blog (article),36.6,31.8
1,27,Reading,easy blog (article),36.7,32
1,28,Reading,easy blog (article),36.8,32.2
1,29,Reading,easy blog (article),36.7,32.1
1,30,Reading,easy blog (article),36.4,33.4
1,31,Reading,easy blog (article),36.6,32.1
1,32,Reading,easy blog (article),36.5,32.8
1,33,Reading,easy blog (article),36.4,32.9
1,34,Reading,easy blog (article),36.5,32.7
1,35,Reading,easy blog (article),36.6,34.1
1,36,Reading,easy blog (article),36.6,34.4
1,37,Reading,easy blog (article),36.6,34.2
1,38,Reading,easy blog (article),36.8,33.5
1,39,Reading,easy blog (article),36.5,33.9
1,40,Reading,easy blog (article),36.6,32.1
1,41,Reading,easy blog (article),36.6,33.8
1,42,Reading,easy blog (article),36.7,33.5
1,43,Reading,easy blog (article),36.7,34
1,44,Reading,easy blog (article),36.4,34.3
1,45,Reading,easy blog (article),36.6,34.5
1,46,Reading,easy blog (article),36.6,32.7
1,47,Reading,easy blog (article),36.5,34.3
1,48,Reading,easy blog (article),36.6,33.2
1,49,Reading,easy blog (article),36.6,34.1
1,50,Reading,easy blog (article),36.6,34.8
1,51,Reading,easy blog (article),36.6,34.7
1,52,Reading,easy blog (article),36.6,34
1,53,Reading,easy blog (article),36.4,34.5
1,54,Reading,easy blog (article),36.6,34
1,55,Reading,easy blog (article),36.5,32.7
1,56,Reading,easy blog (article),36.6,33.8
1,57,Reading,easy blog (article),36.6,34.2
1,58,Reading,easy blog (article),36.7,33.9
1,59,Reading,easy blog (article),36.5,33.8
1,60,Reading,easy blog (article),36.6,33
1,61,Reading,easy blog (article),36.6,34.1
1,62,Reading,easy blog (article),36.6,33.8
1,63,Reading,easy blog (article),36.6,34.2
1,64,Reading,easy blog (article),36.6,34.4
1,65,Reading,easy blog (article),36.5,33.9
1,66,Reading,easy blog (article),36.6,34.2
1,67,Reading,easy blog (article),36.4,33.9
1,68,Reading,easy blog (article),36.6,34.5
1,69,Reading,easy blog (article),36.6,34
1,70,Reading,easy blog (article),36.7,33.3
1,71,Reading,easy blog (article),36.6,32.5
1,72,Reading,easy blog (article),36.6,33.6
1,73,Reading,easy blog (article),36.5,34.2
1,74,Reading,easy blog (article),36.6,33.6
1,75,Reading,easy blog (article),36.6,34.2
1,76,Reading,easy blog (article),36.6,34.6
1,77,Reading,easy blog (article),36.6,34.3
1,78,Reading,easy blog (article),36.6,34
1,79,Reading,easy blog (article),36.7,33.2
1,80,Reading,easy blog (article),36.7,35
1,81,Reading,easy blog (article),36.6,34.4
1,82,Reading,easy blog (article),36.5,34.7
1,83,Reading,easy blog (article),36.5,34.9
1,84,Reading,easy blog (article),36.7,34
1,85,Reading,easy blog (article),36.8,34.7
1,86,Reading,easy blog (article),36.7,33.7
1,87,Reading,easy blog (article),36.5,34.8
1,88,Reading,easy blog (article),36.6,34.9
1,89,Reading,easy blog (article),36.5,34.9
1,90,Reading,easy blog (article),36.6,33.7
1,1,Reading,literary piece,36.5,31.8
1,2,Reading,literary piece,36.5,32
1,3,Reading,literary piece,36.7,32.1
1,4,Reading,literary piece,36.6,32.1
1,5,Reading,literary piece,36.6,32.3
1,6,Reading,literary piece,36.6,32
1,7,Reading,literary piece,36.7,32
1,8,Reading,literary piece,36.7,32
1,9,Reading,literary piece,36.6,32
1,10,Reading,literary piece,36.6,32
1,11,Reading,literary piece,36.6,31.7
1,12,Reading,literary piece,36.6,31.9
1,13,Reading,literary piece,36.7,32
1,14,Reading,literary piece,36.7,32
1,15,Reading,literary piece,36.7,32
1,16,Reading,literary piece,36.8,32
1,17,Reading,literary piece,36.8,31.8
1,18,Reading,literary piece,36.8,32
1,19,Reading,literary piece,36.5,31.8
1,20,Reading,literary piece,36.7,31.7
1,21,Reading,literary piece,36.7,31.8
1,22,Reading,literary piece,36.6,31.9
1,23,Reading,literary piece,36.5,32.2
1,24,Reading,literary piece,36.7,31.8
1,25,Reading,literary piece,36.6,32
1,26,Reading,literary piece,36.5,32
1,27,Reading,literary piece,36.6,32.1
1,28,Reading,literary piece,36.6,32
1,29,Reading,literary piece,36.5,32.2
1,30,Reading,literary piece,36.7,32.2
1,31,Reading,literary piece,36.7,31.8
1,32,Reading,literary piece,36.6,31.8
1,33,Reading,literary piece,36.7,31.7
1,34,Reading,literary piece,36.7,32.2
1,35,Reading,literary piece,36.7,31.9
1,36,Reading,literary piece,36.7,31.9
1,37,Reading,literary piece,36.6,32.1
1,38,Reading,literary piece,36.6,31.9
1,39,Reading,literary piece,36.5,32
1,40,Reading,literary piece,36.7,31.8
1,41,Reading,literary piece,36.6,32.4
1,42,Reading,literary piece,36.6,32.1
1,43,Reading,literary piece,36.6,32.1
1,44,Reading,literary piece,36.6,32.2
1,45,Reading,literary piece,36.6,32
1,46,Reading,literary piece,36.7,32
1,47,Reading,literary piece,36.5,32.1
1,48,Reading,literary piece,36.6,32.1
1,49,Reading,literary piece,36.6,32.3
1,50,Reading,literary piece,36.6,32.1
1,51,Reading,literary piece,36.5,32.2
